Record_ID,City,State,Region,City Category,Year,Month,Season,Population,Population Density (per km²),Urbanization Rate (%),Waste Type,Daily Waste Generation (TPD),Waste Per Capita (kg),Collection Efficiency (%),Waste Segregation Rate (%),Recycling Rate (%),Composting Rate (%),Landfill Dependency (%),Waste Processing Capacity (TPD),Treatment Method,Municipal Efficiency Score,Awareness Campaigns,Smart Bins,Collection Vehicles,Collection Frequency,Waste Management Workers,Waste Management Budget (?),Cost Per Ton (?),Carbon Emissions,Landfill Capacity (Tons),Remaining Landfill Capacity (Tons),Latitude,Longitude,Air Quality Index (AQI),Rainfall (mm),Tourism Impact Score,Industrial Activity Level,Population Growth Rate (%),Sustainability Index,Performance Level,Sustainability Category
WM000032,Bhubaneswar,Odisha,East,Tier-2,2015,1,Winter,967381,4816.9,46.2,Organic,129.82,0.138,65.3,47.5,20.8,33.6,45.5,112.15,Landfill,5.1,0,0,34,3,2213,10249529,587,2203.39,424198,96.4,20.2961,85.8245,169,8.2,6.6,3.4,2.23,41.9,Low,Average
WM000033,Bhubaneswar,Odisha,East,Tier-2,2015,1,Winter,967381,4816.9,46.2,Plastic,43.99,0.044,75,43.6,36.4,0.3,63.5,43.43,Recycling,5.1,0,0,34,3,2213,10249529,826,165.16,424198,96.4,20.2961,85.8245,169,8.2,6.6,3.4,2.23,36,Medium,Poor
WM000034,Bikaner,Rajasthan,North,Tier-2,2015,1,Winter,441832,3335.1,60.3,Organic,68.17,0.152,69.7,45,19.8,31.5,45.5,68.31,Landfill,5.8,1,0,19,3,838,4631887,462,1220.01,745683,98,28.0229,73.3119,242,31.2,2.3,4.1,2.64,40.3,Medium,Average
WM000035,Bikaner,Rajasthan,North,Tier-2,2015,1,Winter,441832,3335.1,60.3,Plastic,18.76,0.042,68,58.2,42,1.2,54.9,18.67,Landfill,5.8,1,0,19,3,838,4631887,438,340.39,745683,98,28.0229,73.3119,242,31.2,2.3,4.1,2.64,43.3,High,Average
WM000036,Bilaspur,Chhattisgarh,Central,Tier-2,2015,1,Winter,638176,5602.2,56.9,Construction,31.37,0.051,52.3,41.8,33.5,1.1,66.4,26.87,Landfill,4.3,2,0,24,3,1335,8117627,424,499.79,969009,97,22.0797,82.1391,228,16,3.2,7.6,3.16,30.3,Low,Poor
WM000037,Chandigarh,Chandigarh,North,Tier-1,2015,1,Winter,1961482,5806.2,62.8,Construction,131.11,0.069,69,48.7,34.3,0.8,61.9,129.23,Landfill,5.6,6,0,100,5,4708,46576460,755,2170.86,4785772,95.6,30.7333,76.7794,218,39.6,4.5,4.7,2.29,42.1,Medium,Average
WM000038,Chennai,Tamil Nadu,South,Metro,2015,1,Winter,10085456,25797.2,95.4,Construction,888.95,0.087,69.4,42.5,42.7,1.3,46.5,1069.73,Landfill,6.4,4,0,705,6,38874,377003780,1098,15433.97,13850278,97.5,13.0827,80.2707,213,57.3,7.7,8.8,1.03,42.8,Medium,Average
WM000039,Coimbatore,Tamil Nadu,South,Tier-1,2015,1,Winter,1368430,5372,78.7,Organic,262.65,0.188,75,49.9,23.8,35.6,34.1,247.22,Composting,5.4,4,0,65,5,4131,31621605,771,609.56,4547979,98,11.0168,76.9558,172,14.5,3.3,7.5,2.38,47.6,Medium,Good
WM000040,Cuttack,Odisha,East,Tier-2,2015,1,Winter,876108,5976.2,50.1,E-Waste,6.21,0.007,52.9,35.5,35.4,0.8,65.3,6.08,Recycling,4.7,1,0,31,3,1682,9256416,857,23.71,1398858,98,20.4625,85.883,149,13.5,6.3,2.6,4.16,32.2,Low,Poor
WM000041,Cuttack,Odisha,East,Tier-2,2015,1,Winter,876108,5976.2,50.1,Plastic,44.53,0.049,63.6,44.6,45,0.3,54.7,40.85,Landfill,4.7,1,0,31,3,1682,9256416,578,704.44,1398858,98,20.4625,85.883,149,13.5,6.3,2.6,4.16,36.1,Medium,Poor
WM000042,Darjeeling,West Bengal,East,Tier-3,2015,1,Winter,249254,991.8,38.9,Organic,25.11,0.101,50,35.1,17,29.7,54.1,18.02,Composting,2.2,1,0,6,2,320,1560281,471,56.04,41842,96.7,27.041,88.2663,140,17.5,9.1,2.5,2.78,31.8,Low,Poor
WM000043,Dehradun,Uttarakhand,Central,Tier-2,2015,1,Winter,850358,5348.5,53.5,Organic,119.84,0.145,70.6,36.1,19.8,38.3,38.5,111.2,Biogas,6.4,1,0,32,4,1843,10291871,868,194.08,377139,97.6,30.3165,78.0322,224,5.9,5.4,8,2.96,43.5,Low,Average
WM000044,Delhi,Delhi,North,Metro,2015,1,Winter,18874637,32633.4,87.8,Organic,3963.61,0.219,86.2,48.3,30,39,22.7,4049.65,Recycling,7.9,7,0,1482,7,69464,642344080,1700,13458.44,10825146,93.6,28.7041,77.1025,251,26.6,6.8,7.1,0.95,54.2,High,Excellent
WM000045,Delhi,Delhi,North,Metro,2015,1,Winter,18874637,32633.4,87.8,Plastic,1114.26,0.062,79,68.6,45.3,0.5,46.3,1020.86,Landfill,7.9,7,0,1482,7,69464,642344080,847,16588.35,10825146,93.6,28.7041,77.1025,251,26.6,6.8,7.1,0.95,51.4,High,Excellent
WM000046,Diu,Daman and Diu,West,Tier-3,2015,1,Winter,99589,2847,21.6,Paper,2.39,0.024,48,44.1,49.1,3.9,45.2,1.9,Landfill,4,0,0,3,2,140,831714,343,37.39,54625,98,20.7144,70.9874,147,10.4,8.3,3.4,2.55,38.6,Low,Average
WM000047,Durgapur,West Bengal,East,Tier-2,2015,1,Winter,357038,4780,43.7,Organic,50.24,0.137,58.2,37.3,17.2,27.8,52.8,54.11,Landfill,3.8,2,0,13,3,681,7117137,541,754.12,1044549,96.6,23.5204,87.3119,174,11.1,4.4,5.6,3.25,32.1,Low,Poor
WM000048,Durgapur,West Bengal,East,Tier-2,2015,1,Winter,357038,4780,43.7,Plastic,12.99,0.036,61.9,42.5,32.5,1.4,65.1,9.36,Landfill,3.8,2,0,13,3,681,7117137,465,200.01,1044549,96.6,23.5204,87.3119,174,11.1,4.4,5.6,3.25,32.8,Low,Poor
WM000049,Erode,Tamil Nadu,South,Tier-2,2015,1,Winter,530967,3260.3,41.4,Organic,72.96,0.138,67.7,51.5,24.5,36.7,39.4,59.96,Biogas,5.2,3,0,24,3,1043,9378930,878,101.43,708218,98,11.341,77.7172,144,35.7,5.7,5.2,2.97,43.6,Medium,Average
WM000050,Erode,Tamil Nadu,South,Tier-2,2015,1,Winter,530967,3260.3,41.4,Plastic,20.59,0.04,64.7,36.8,47.2,0.8,47.3,19.79,Recycling,5.2,3,0,24,3,1043,9378930,885,75.92,708218,98,11.341,77.7172,144,35.7,5.7,5.2,2.97,40.6,Medium,Average
WM000051,Faridabad,Haryana,North,Tier-1,2015,1,Winter,1291473,8415,81.4,Organic,300.27,0.227,79.8,43.7,26.3,39.7,31,285.12,Landfill,7.4,6,0,83,5,3799,21718985,612,4791.58,6092116,98,28.4089,77.3178,215,3.3,5.6,3.7,1.36,49,Medium,Good
WM000052,Firozabad,Uttar Pradesh,Central,Tier-2,2015,1,Winter,558931,4009.5,64.6,Plastic,22.67,0.04,56.4,51.5,35.5,0.6,68.9,21.65,Recycling,4.7,1,0,24,4,1035,8924706,805,86.76,622411,97.5,27.1592,78.3957,202,18.3,6.3,7.6,2.83,36.3,Low,Poor
WM000053,Gangtok,Sikkim,Northeast,Tier-3,2015,1,Winter,120923,2010.4,29.5,Construction,4.43,0.036,44.1,39.9,34.2,0.8,67.6,3.73,Landfill,3.9,1,0,3,1,196,1011470,368,69.2,332099,93.2,27.3389,88.6065,106,27.8,7.4,1.1,3.49,30.8,Low,Poor
WM000054,Gangtok,Sikkim,Northeast,Tier-3,2015,1,Winter,120923,2010.4,29.5,Organic,11.35,0.094,66,40.4,17.9,32.9,47.6,10.36,Composting,3.9,1,0,3,1,196,1011470,429,26.25,332099,93.2,27.3389,88.6065,106,27.8,7.4,1.1,3.49,35.6,Low,Poor
WM000055,Gaya,Bihar,East,Tier-2,2015,1,Winter,524464,5483.5,66.8,Organic,83.18,0.161,69,49.8,25.9,41.4,30.8,74.92,Composting,6,1,0,22,4,1045,10328454,499,197.89,437373,97.9,24.7955,84.9994,160,17.8,4.9,5.3,2.01,47.9,Medium,Good
WM000056,Gorakhpur,Uttar Pradesh,Central,Tier-2,2015,1,Winter,363877,4538.6,66.2,Construction,24.55,0.067,57.3,49.4,40.6,0,58.7,21.05,Landfill,4.3,1,0,15,3,838,4538089,503,390.55,1378569,96.7,26.7606,83.3732,219,18.4,3.7,7.8,3.09,37.9,Low,Poor
WM000057,Gulbarga,Karnataka,South,Tier-2,2015,1,Winter,814467,2721.2,52,Metal,8.98,0.011,58.2,55.6,61.3,0.2,34.3,8.7,Recycling,5.7,2,0,35,4,1674,11341551,1008,29.69,1043237,98,17.3297,76.8343,139,29.9,5.8,3.8,1.48,52.3,High,Excellent
WM000058,Gulbarga,Karnataka,South,Tier-2,2015,1,Winter,814467,2721.2,52,Organic,130.42,0.153,68.8,44.2,22.3,32.5,47.7,126.1,Landfill,5.7,2,0,35,4,1674,11341551,458,2093.77,1043237,98,17.3297,76.8343,139,29.9,5.8,3.8,1.48,40.4,Medium,Average
WM000059,Guntur,Andhra Pradesh,South,Tier-2,2015,1,Winter,932294,7419.9,50.8,Construction,62.58,0.067,45.2,40.8,26.9,0.8,71,49.84,Recycling,3.6,1,0,32,3,1745,8429625,907,238.34,883943,98,16.3067,80.4365,168,37.7,4.7,2.3,3.04,26.1,Low,Poor
WM000060,Guntur,Andhra Pradesh,South,Tier-2,2015,1,Winter,932294,7419.9,50.8,Glass,9.22,0.01,49.8,37,46.8,0.3,49.5,7.76,Landfill,3.6,1,0,32,3,1745,8429625,583,148.37,883943,98,16.3067,80.4365,168,37.7,4.7,2.3,3.04,40.7,Low,Average
WM000061,Gurugram,Haryana,North,Tier-1,2015,1,Winter,2151318,8422,79.6,Construction,154.51,0.072,70.6,52.2,46.3,0.3,49.8,123.43,Recycling,7,3,0,116,5,6983,46914861,1406,501.11,1758313,96.9,28.4595,77.0266,242,22,2.4,5.3,2.07,49.6,High,Good
WM000062,Guwahati,Assam,Northeast,Tier-1,2015,1,Winter,1259351,5375.2,63.5,Organic,261.16,0.206,69.1,52.9,22.6,28.6,44.7,284.47,Biogas,5.6,4,0,59,5,3282,21459222,1168,355.62,4802843,95.3,26.1445,91.7362,179,57.1,5.8,7.6,2.44,41.1,Medium,Average
WM000063,Gwalior,Madhya Pradesh,Central,Tier-1,2015,1,Winter,3118741,8459.3,73.1,Organic,573.2,0.189,78.8,51.6,26,46.9,19.8,526.27,Landfill,6.5,2,0,194,5,9674,61130285,701,8528.94,6063580,96.8,26.2183,78.1828,235,7.6,2.9,9.1,2.08,54.8,Medium,Excellent
WM000064,Haridwar,Uttarakhand,Central,Tier-3,2015,1,Winter,103961,1723.1,31.7,Metal,0.87,0.008,55.4,53.7,64.2,0.3,32.4,0.81,Recycling,4.5,0,0,3,2,140,609480,695,3.4,326079,93.5,29.9457,78.1642,195,23.1,9.8,1.4,3.43,48.2,Medium,Good
WM000065,Howrah,West Bengal,East,Tier-1,2015,1,Winter,2405194,5333.2,78.3,Organic,494.91,0.201,85.6,43.4,30.8,41.5,21.7,503.57,Biogas,7.3,3,0,119,6,7977,40431067,965,720.92,3007304,98,22.5958,88.2636,208,5.8,3.8,9.3,2.36,54.2,High,Excellent
WM000066,Howrah,West Bengal,East,Tier-1,2015,1,Winter,2405194,5333.2,78.3,Plastic,130.93,0.057,76,55.1,45,0.9,54.1,149.9,Waste_to_Energy,7.3,3,0,119,6,7977,40431067,1994,1055.19,3007304,98,22.5958,88.2636,208,5.8,3.8,9.3,2.36,43.2,High,Average
WM000067,Hubballi-Dharwad,Karnataka,South,Tier-1,2015,1,Winter,1059897,9500.3,74.5,E-Waste,11.04,0.01,60.8,36,37.7,0,54.2,11.76,Landfill,6.5,2,0,64,5,3238,15788547,672,175.5,2464542,96.7,15.3647,75.124,148,37.2,3.1,4.7,2.31,37.4,Medium,Poor
WM000068,Hyderabad,Telangana,South,Metro,2015,1,Winter,8646634,21770.1,93.5,Paper,347.39,0.042,82.5,69.3,65.3,5,21.9,424.71,Landfill,8.5,6,0,663,7,31011,238618799,1049,5304.44,13369410,98,17.385,78.4867,163,25.6,5.2,5.8,1.07,62.6,High,Excellent
WM000069,Imphal,Manipur,Northeast,Tier-3,2015,1,Winter,151296,2352.7,29.7,Construction,5.72,0.039,44.6,35.4,22.3,0.5,75.8,4.34,Landfill,3.5,1,0,4,2,214,807878,372,97.42,301743,98,24.817,93.9368,117,35,2.7,4.6,3.25,25,Low,Poor
WM000070,Indore,Madhya Pradesh,Central,Tier-1,2015,1,Winter,1463387,13425.1,80.6,Construction,127.55,0.086,53.5,36.5,39.8,1,50.5,115.44,Waste_to_Energy,5.4,2,0,82,5,3593,26350584,2148,976.76,5899204,96.1,22.7196,75.8577,225,18.1,6.3,6.5,2,35.6,Low,Poor
WM000071,Itanagar,Arunachal Pradesh,Northeast,Tier-3,2015,1,Winter,207390,2388,37.2,Construction,10.16,0.047,51,45.4,42.8,1.3,54.5,8.07,Landfill,4.8,1,0,6,2,320,1286321,305,175.49,346054,96.9,27.0844,93.6053,125,18.5,3,4.5,3.19,36.7,Low,Poor
WM000072,Jabalpur,Madhya Pradesh,Central,Tier-1,2015,1,Winter,1150403,12787.8,61.3,Organic,248.09,0.208,74.7,43.3,27.3,31.7,40.9,224.19,Landfill,5.2,5,0,56,5,2834,24224265,786,4395.73,5082812,95.7,23.1815,79.9864,186,17.2,2.5,3,2.26,40.8,Medium,Average
WM000073,Jabalpur,Madhya Pradesh,Central,Tier-1,2015,1,Winter,1150403,12787.8,61.3,Paper,40.13,0.034,61.2,49.2,53,4.2,32.4,28.21,Recycling,5.2,5,0,56,5,2834,24224265,1217,156.85,5082812,95.7,23.1815,79.9864,186,17.2,2.5,3,2.26,47.4,Medium,Good
WM000074,Jaipur,Rajasthan,North,Metro,2015,1,Winter,3868565,15773.9,91.8,Organic,949.34,0.257,92.6,51.6,22.4,34.3,31.5,820.71,Landfill,7.8,2,0,312,7,13976,131614422,856,15471.65,8522037,98,26.9124,75.7873,228,33.7,8.7,8.9,1.95,49.8,High,Good
WM000075,Jalandhar,Punjab,North,Tier-1,2015,1,Winter,1397811,7643.8,61.8,Construction,114.63,0.08,68.5,42.2,36,0.2,56.1,110.07,Recycling,6.3,4,0,64,6,3784,36661713,1110,407.28,5559185,98,31.326,75.5762,226,14.5,2.2,5.5,1.41,39.8,Medium,Average
WM000076,Jalgaon,Maharashtra,West,Tier-2,2015,1,Winter,805358,5521.9,42.8,Organic,108.96,0.139,62.4,44.4,26.1,27.1,41.9,85.93,Landfill,4.6,0,0,30,3,1461,11963329,559,1836.51,1675970,93.9,21.0077,75.5626,181,9.2,2.4,3.2,1.77,43.1,Low,Average
WM000077,Jammu,Jammu and Kashmir,North,Tier-2,2015,1,Winter,901273,5202.2,42.5,Construction,52.02,0.058,52,37.1,31.1,0.3,64.9,49.14,Landfill,3.6,0,0,34,3,1880,12959478,544,910.64,1499124,96.4,32.7266,74.857,238,3.7,5.1,6.9,2.84,26.9,Low,Poor
WM000078,Jammu,Jammu and Kashmir,North,Tier-2,2015,1,Winter,901273,5202.2,42.5,Organic,141.27,0.155,62.3,37.8,13.8,37.5,47,123.01,Landfill,3.6,0,0,34,3,1880,12959478,434,2169.7,1499124,96.4,32.7266,74.857,238,3.7,5.1,6.9,2.84,33.9,Low,Poor
WM000079,Jamnagar,Gujarat,West,Tier-2,2015,1,Winter,820712,6788.9,48.8,Construction,57.69,0.067,50.7,35.6,29.3,0.3,68,54.46,Landfill,3.8,0,0,29,3,1432,14134978,548,865.97,1332604,97.1,22.4707,70.0577,202,0.3,2.5,2.3,2.1,26.2,Low,Poor
WM000080,Jamnagar,Gujarat,West,Tier-2,2015,1,Winter,820712,6788.9,48.8,Plastic,35.64,0.042,61.1,38.5,33.4,0.5,65.2,26.96,Recycling,3.8,0,0,29,3,1432,14134978,915,119.69,1332604,97.1,22.4707,70.0577,202,0.3,2.5,2.3,2.1,32.5,Low,Poor
WM000081,Jamshedpur,Jharkhand,East,Tier-2,2015,1,Winter,580132,5560.6,61.2,Glass,5,0.009,65.8,48,56.3,1.2,41.9,4.39,Landfill,5.7,1,0,28,4,1129,10796058,450,90.28,1295507,96.5,22.8046,86.2029,166,40,2.2,2.2,1.77,48.1,High,Good
WM000082,Jamshedpur,Jharkhand,East,Tier-2,2015,1,Winter,580132,5560.6,61.2,Organic,104.92,0.173,68.9,46.5,22.3,39.4,38.6,107.41,Composting,5.7,1,0,28,4,1129,10796058,607,251.27,1295507,96.5,22.8046,86.2029,166,40,2.2,2.2,1.77,44.8,Medium,Good
WM000083,Jhansi,Uttar Pradesh,Central,Tier-2,2015,1,Winter,388946,2942.9,65.7,Construction,24.12,0.065,49.9,48.4,31,0.8,65.3,23.86,Landfill,3.9,0,0,15,3,747,6583087,480,416.63,1528653,95.8,25.4484,78.5685,201,7.6,3.6,2.6,1.73,32.6,Low,Poor
WM000084,Jodhpur,Rajasthan,North,Tier-1,2015,1,Winter,2792169,9784,73.5,Construction,232.8,0.087,68.6,43.5,45.1,0.1,52.8,220.44,Landfill,6.3,6,0,160,5,6661,47749784,794,3903.27,1560477,98,26.2389,73.0243,242,25.6,8.9,6.2,2.59,43.4,Medium,Average
